141.101.90.106:443#Europe-Paris-13.72MB/s
141.101.90.96:443#Europe-Paris-14.27MB/s
141.101.90.98:443#Europe-Hamburg-13.65MB/s
23.227.60.200:443#Asia Pacific-Hong Kong-16.20MB/s
104.20.60.69:443#Europe-Frankfurt-11.90MB/s
104.20.5.134:443#North America-Los Angeles-11.30MB/s
104.20.30.15:443#North America-Los Angeles-9.08MB/s
104.19.177.49:443#North America-Los Angeles-9.09MB/s
104.19.13.221:443#North America-Los Angeles-8.90MB/s
162.159.235.31:443#North America-Los Angeles-8.46MB/s
104.18.64.227:443#North America-Los Angeles-10.30MB/s
104.16.11.38:443#North America-Los Angeles-9.25MB/s
104.27.207.37:443#North America-Los Angeles-12.27MB/s
104.17.207.0:443#North America-Los Angeles-9.40MB/s
104.16.85.175:443#North America-Los Angeles-11.61MB/s
104.16.176.72:443#North America-Los Angeles-9.03MB/s
104.16.217.99:443#North America-Los Angeles-13.47MB/s
104.20.2.163:443#North America-Los Angeles-12.43MB/s
104.18.76.220:443#North America-Los Angeles-8.87MB/s
104.18.155.179:443#North America-Los Angeles-16.61MB/s
162.159.230.24:443#North America-Los Angeles-13.96MB/s
104.19.77.177:443#North America-Los Angeles-12.52MB/s
104.16.5.203:443#North America-Los Angeles-8.73MB/s
104.19.166.44:443#North America-Los Angeles-11.85MB/s
104.16.4.41:443#North America-Los Angeles-8.25MB/s
104.19.241.125:443#North America-Los Angeles-10.40MB/s
104.19.202.183:443#North America-Los Angeles-10.67MB/s
104.18.212.206:443#North America-Los Angeles-9.22MB/s
104.19.214.77:443#North America-Los Angeles-8.56MB/s
104.18.184.244:443#North America-Los Angeles-8.59MB/s
104.19.181.161:443#North America-Los Angeles-8.04MB/s
104.16.18.20:443#North America-Los Angeles-13.75MB/s
104.19.243.176:443#North America-Los Angeles-8.86MB/s
104.16.43.69:443#North America-Los Angeles-16.81MB/s
104.16.92.110:443#North America-Los Angeles-8.17MB/s
141.101.115.11:443#North America-Los Angeles-9.77MB/s
104.16.125.249:443#North America-Los Angeles-10.15MB/s
172.67.226.172:443#North America-Los Angeles-14.56MB/s
162.159.246.66:443#North America-Los Angeles-11.83MB/s
104.21.219.182:443#North America-Los Angeles-12.73MB/s
104.17.204.35:443#North America-Los Angeles-11.89MB/s
104.18.190.101:443#North America-Los Angeles-8.39MB/s
8.39.214.23:443#North America-Los Angeles-8.66MB/s
104.19.3.46:443#North America-Los Angeles-15.73MB/s
104.19.211.223:443#North America-Los Angeles-8.71MB/s
104.19.214.99:443#North America-Los Angeles-10.46MB/s
104.27.206.13:443#North America-Los Angeles-12.00MB/s
104.18.214.239:443#North America-Los Angeles-14.96MB/s
104.17.94.117:443#North America-Los Angeles-9.33MB/s
162.159.193.179:443#North America-Los Angeles-10.01MB/s
104.16.9.187:443#North America-Los Angeles-10.24MB/s
104.20.10.173:443#North America-Los Angeles-12.03MB/s
162.159.137.130:443#Europe-London-9.39MB/s
104.20.58.207:443#Europe-Frankfurt-18.45MB/s
104.20.49.156:2053#Europe-Frankfurt-9.47MB/s
104.19.21.167:443#North America-Los Angeles-11.40MB/s
172.67.202.101:2053#Europe-London-9.89MB/s
